COUNTRY,TF14,YEAR,mean_perc,SE420,SE605,SE131,SE136,SE207,SE270,SE281,SE336,SE360,SE370,SE375,SE380,SE135,SE206,SE256,SE600,SE405,SE132,SE425,SE011,plus,miners
(BEL) Belgium,(80) Mixed crops and livestock,2004,12.27132001125809,53057.0,22489.0,169442.0,1585.410436,884.09454051,137568.0,66059.0,26972.0,19323.0,4812.0,11752.0,8651.0,91230.0,73819.0,4393.0,23200.0,-2016.0,1.2316954108,42151.395184,5240.02,190626.0,137567.0
(CYP) Cyprus,(15) Specialist COP,2004,4.484933426769446,-8327.0,6083.0,12511.0,388.78010145,1356.5036750999998,26804.0,6101.0,4872.0,8761.0,1146.0,5255.0,670.0,12279.0,231.0,0.0,5966.0,0.0,0.4667476553,-1109.5521130000002,2656.34,18477.0,26804.0
(CYP) Cyprus,(16) Specialist other fieldcrops,2004,11.913104414856342,3644.0,5743.0,27060.0,1932.3704909000003,172.00518446,29118.0,7313.0,7403.0,5794.0,5903.0,1953.0,752.0,27041.0,2.0,17.0,5703.0,0.0,0.9293095001,6188.599534100001,4493.2,32763.0,29118.0
(CYP) Cyprus,(20) Specialist horticulture,2004,6.236860546601261,,,,,,,,,,,,,,,,,,,,,,
(CYP) Cyprus,(35) Specialist wine,2004,5.1156271899089,3396.0,3048.0,11528.0,2411.496212,,11180.0,1745.0,2981.0,3917.0,2143.0,363.0,31.0,11528.0,0.0,0.0,3048.0,0.0,1.0311281739,5853.313937,2315.36,14576.0,11180.0
(CYP) Cyprus,(36) Specialist orchards - fruits,2004,26.419060967063768,3096.0,2904.0,8887.0,4181.1031186,2622.9113365,8632.0,1686.0,3037.0,3216.0,508.0,59.0,127.0,8763.0,121.0,3.0,2841.0,0.0,1.0294703539,3563.2783376,2354.36,11728.0,8633.0
(CYP) Cyprus,(37) Specialist olives,2004,5.185704274702172,,,,,,,,,,,,,,,,,,,,,,
(CYP) Cyprus,(38) Permanent crops combined,2004,4.835318850735809,,,,,,,,,,,,,,,,,,,,,,
(CYP) Cyprus,(45) Specialist milk,2004,1.261387526278907,,,,,,,,,,,,,,,,,,,,,,
(CYP) Cyprus,(48) Specialist sheep and goats,2004,15.697266993693063,15824.0,10290.0,49657.0,431.86863713,1399.4019231,43794.0,26237.0,6298.0,6032.0,2185.0,2046.0,996.0,7944.0,41685.0,28.0,9965.0,-4.0,1.1338738348000001,12461.594831,3950.55,59618.0,43793.0
(CYP) Cyprus,(50) Specialist granivores,2004,1.4015416958654519,9706.0,822.0,408174.0,644.90898951,765.97423683,399341.0,290838.0,31100.0,34482.0,33195.0,908.0,8818.0,2872.0,405303.0,0.0,872.0,0.0,1.0221193801000001,9856.0164383,11985.59,409046.0,399340.0
(CYP) Cyprus,(60) Mixed crops,2004,15.416958654519972,2976.0,3260.0,19168.0,2589.3377914000002,1059.0630712000002,19429.0,4173.0,4596.0,5299.0,4382.0,541.0,437.0,19033.0,103.0,32.0,3237.0,0.0,0.98658547,5389.6844669,3618.6,22405.0,19428.0
(CYP) Cyprus,(80) Mixed crops and livestock,2004,2.0322354590049057,,,,,,,,,,,,,,,,,,,,,,
(CZE) Czech Republic,(15) Specialist COP,2004,19.4601381042059,20392.0,18691.0,94947.0,537.55182614,620.96496455,91383.0,32610.0,30780.0,11345.0,10877.0,4687.0,1085.0,82853.0,4440.0,7655.0,16729.0,100.0,1.03899529,13388.924427,5957.44,111776.0,91384.0
(CZE) Czech Republic,(16) Specialist other fieldcrops,2004,9.16509730069052,31893.0,25715.0,220606.0,894.33409932,710.32430658,211281.0,78810.0,69809.0,19887.0,32408.0,7869.0,2498.0,185887.0,18034.0,16685.0,21918.0,650.0,1.044134849,12173.849251,12761.91,243174.0,211281.0
(CZE) Czech Republic,(20) Specialist horticulture,2004,6.214689265536723,13320.0,2361.0,102196.0,5011.5820054,,90671.0,36880.0,29216.0,8788.0,14160.0,1312.0,316.0,99608.0,0.0,2588.0,1795.0,0.0,1.1271050002,6913.8526493,9026.1,103991.0,90671.0
(CZE) Czech Republic,(35) Specialist wine,2004,3.954802259887006,20483.0,903.0,40350.0,3370.389404,,24605.0,7951.0,7388.0,6813.0,1288.0,303.0,861.0,40113.0,0.0,237.0,438.0,4300.0,1.6399086377,10471.419034,3800.99,45088.0,24605.0
(CZE) Czech Republic,(36) Specialist orchards - fruits,2004,1.5065913370998116,,,,,,,,,,,,,,,,,,,,,,
(CZE) Czech Republic,(45) Specialist milk,2004,7.595731324544884,24973.0,43909.0,224395.0,308.50765681,971.05718033,241220.0,98052.0,64957.0,19307.0,53301.0,3197.0,2406.0,71764.0,134494.0,18137.0,41467.0,331.0,0.9302508665000001,8602.5338053,20131.29,266193.0,241219.0
(CZE) Czech Republic,(48) Specialist sheep and goats,2004,1.820464532328939,,,,,,,,,,,,,,,,,,,,,,
(CZE) Czech Republic,(49) Specialist cattle,2004,17.011927181418706,17497.0,37808.0,72109.0,166.53123047,406.17680267,91485.0,35016.0,30502.0,6987.0,15860.0,1905.0,1216.0,28940.0,33570.0,9600.0,36861.0,12.0,0.7882086390999999,8814.131551299999,8905.4,108982.0,91485.0
(CZE) Czech Republic,(50) Specialist granivores,2004,3.89202762084118,3957.0,14260.0,777122.0,576.43962139,735.5472007999999,783656.0,523980.0,110664.0,39543.0,98412.0,4836.0,6221.0,37277.0,716657.0,23188.0,9133.0,1358.0,0.9916624759,7725.704456300001,29988.62,787613.0,783657.0
(CZE) Czech Republic,(60) Mixed crops,2004,0.7532956685499058,,,,,,,,,,,,,,,,,,,,,,
(CZE) Czech Republic,(70) Mixed livestock,2004,4.205900816070308,38667.0,87129.0,625396.0,445.6765926,881.03990751,668310.0,295119.0,162732.0,46059.0,145905.0,10411.0,8085.0,237931.0,350169.0,37295.0,80100.0,1482.0,0.9357862921,9008.386763299999,45551.07,706978.0,668310.0
(CZE) Czech Republic,(80) Mixed crops and livestock,2004,24.419334588826114,34537.0,56955.0,403876.0,552.25555488,835.34878607,420495.0,176949.0,108868.0,30520.0,88721.0,10374.0,5064.0,217607.0,158834.0,27435.0,50314.0,842.0,0.9604787237000001,9696.444372,29211.37,455032.0,420495.0
(DAN) Denmark,(15) Specialist COP,2004,22.77695716395864,6516.0,22163.0,88186.0,695.23201729,3180.6115429,100750.0,27939.0,24807.0,15623.0,5766.0,7310.0,19304.0,42845.0,30787.0,14555.0,18877.0,203.0,0.8753016631999999,44607.021894,1596.77,107266.0,100750.0
(DAN) Denmark,(16) Specialist other fieldcrops,2004,13.943870014771049,8161.0,26921.0,121712.0,1094.8649755000001,520.33776899,136136.0,34580.0,36297.0,19938.0,9813.0,10191.0,25317.0,86932.0,13348.0,21432.0,22352.0,233.0,0.8940516228000001,49005.125026999995,2024.12,144297.0,136135.0
(DAN) Denmark,(20) Specialist horticulture,2004,2.954209748892171,26589.0,9131.0,553884.0,31100.143232,,532648.0,142718.0,131677.0,43632.0,178073.0,8861.0,27687.0,510013.0,2675.0,41196.0,5296.0,57.0,1.0398692220999999,36356.581743,11625.29,559237.0,532648.0
(DAN) Denmark,(36) Specialist orchards - fruits,2004,0.5908419497784343,-11507.0,2560.0,65467.0,2404.6232829,,77973.0,17852.0,20695.0,14369.0,11781.0,2475.0,10802.0,59002.0,1435.0,5029.0,905.0,95.0,0.8396007664,11568.157086,2065.35,66467.0,77973.0
(DAN) Denmark,(45) Specialist milk,2004,16.957163958641065,13374.0,35807.0,276135.0,215.29703188,1619.311835,294882.0,107901.0,64988.0,37271.0,21498.0,13127.0,50097.0,19726.0,249871.0,6538.0,31728.0,393.0,0.9364242501000001,49951.985057,4209.81,308256.0,294882.0
(DAN) Denmark,(48) Specialist sheep and goats,2004,3.7518463810930576,,,,,,,,,,,,,,,,,,,,,,
(DAN) Denmark,(49) Specialist cattle,2004,6.971935007385524,-727.0,31671.0,41864.0,235.92982696,584.80141371,72858.0,26926.0,20463.0,9272.0,1100.0,3050.0,12048.0,9031.0,27528.0,5304.0,30262.0,5.0,0.5745900158,19392.819199,1440.02,72131.0,72858.0
(DAN) Denmark,(50) Specialist granivores,2004,16.189069423929098,9429.0,38776.0,550029.0,730.5173407000001,936.22344446,573184.0,295952.0,77947.0,67661.0,48063.0,18048.0,65513.0,76110.0,459101.0,14818.0,32109.0,475.0,0.9596034002,53987.179514999996,5215.7,582613.0,573184.0
(DAN) Denmark,(60) Mixed crops,2004,1.0635155096011817,-14625.0,30632.0,231889.0,1817.0191097,1744.2648809,271762.0,69964.0,62904.0,33284.0,49816.0,10714.0,45081.0,177071.0,34694.0,20124.0,24894.0,353.0,0.8532797995,32694.896972000002,5027.63,257136.0,271762.0
(DAN) Denmark,(70) Mixed livestock,2004,1.8906942392909896,-12166.0,29949.0,202452.0,514.94077767,892.83895084,241607.0,108558.0,44479.0,31229.0,13847.0,8400.0,35094.0,37606.0,154324.0,10522.0,26503.0,487.0,0.8379360245999999,30439.927527999997,2847.91,229442.0,241607.0
(DAN) Denmark,(80) Mixed crops and livestock,2004,12.909896602658788,743.0,28864.0,127246.0,722.99011656,831.10685875,152340.0,60584.0,31852.0,20149.0,8105.0,8561.0,23090.0,47230.0,69087.0,10929.0,25694.0,144.0,0.8352756987000001,36474.987253,2109.29,153084.0,152340.0
(DEU) Germany,(15) Specialist COP,2004,7.0460196087629585,33398.0,62708.0,157644.0,789.96623932,920.58330722,182964.0,50618.0,57814.0,26266.0,18112.0,24208.0,5948.0,126950.0,7417.0,23276.0,59537.0,-819.0,0.8616098944,41930.347906,4347.35,216362.0,182964.0
(DEU) Germany,(16) Specialist other fieldcrops,2004,8.53778674297509,36746.0,29843.0,174849.0,1478.3577609000001,951.26442548,165633.0,46248.0,53129.0,24002.0,19614.0,17501.0,5140.0,131779.0,13382.0,29688.0,29399.0,-1870.0,1.0556393827,34518.722154,5177.14,202378.0,165633.0
(DEU) Germany,(20) Specialist horticulture,2004,5.146127503870151,28336.0,2136.0,250909.0,41031.850048,450.87768733,224287.0,55753.0,81696.0,21840.0,54471.0,2995.0,7532.0,208117.0,52.0,42740.0,2808.0,-1094.0,1.1186970654000001,21656.32943,9636.07,252623.0,224287.0
(DEU) Germany,(35) Specialist wine,2004,4.207909180466294,35607.0,2342.0,109480.0,9772.547612100001,463.19407062,80299.0,19883.0,28886.0,14594.0,8820.0,4598.0,3518.0,100830.0,31.0,8620.0,8449.0,-2024.0,1.3634137046,23140.703611,5211.03,115905.0,80298.0
(DEU) Germany,(36) Specialist orchards - fruits,2004,1.088333255148473,13486.0,6911.0,125828.0,4881.132524600001,1106.4963818,118137.0,20851.0,37958.0,23409.0,26679.0,3618.0,5622.0,104282.0,960.0,20586.0,7754.0,-1959.0,1.0651006529,15047.197499000002,7543.36,131623.0,118137.0
(DEU) Germany,(38) Permanent crops combined,2004,0.7130459257869306,22670.0,2673.0,64511.0,5627.0146295,991.85189889,45489.0,7768.0,20099.0,9398.0,5397.0,1639.0,1188.0,54738.0,672.0,9101.0,4372.0,-723.0,1.4181565966999998,17939.753748,3894.47,68160.0,45490.0
(DEU) Germany,(45) Specialist milk,2004,32.63592437960313,28423.0,21799.0,125617.0,198.18548596,1348.8670078,118505.0,39925.0,38473.0,20587.0,6586.0,8537.0,4397.0,10887.0,104744.0,9987.0,22571.0,-1260.0,1.0600175356000001,27267.772427999997,3987.46,146928.0,118505.0
(DEU) Germany,(48) Specialist sheep and goats,2004,0.7177370174039499,17673.0,45231.0,43132.0,19.697251927,418.92379307,69284.0,15524.0,26652.0,12718.0,6682.0,4966.0,2741.0,2583.0,35670.0,4879.0,44430.0,-605.0,0.6225389677000001,17876.738282,4038.25,86957.0,69283.0
(DEU) Germany,(49) Specialist cattle,2004,11.258619880846272,20244.0,31104.0,82795.0,182.47863973,846.20134196,91745.0,29520.0,32605.0,14866.0,4303.0,6882.0,3568.0,10483.0,62517.0,9794.0,30269.0,-1074.0,0.9024465570999999,22182.89543,3593.49,111990.0,91745.0
(DEU) Germany,(50) Specialist granivores,2004,9.658957639442699,43695.0,22886.0,248738.0,704.13591655,850.60752187,227860.0,117384.0,53472.0,27985.0,10719.0,11310.0,6991.0,39324.0,196285.0,13128.0,24830.0,-2012.0,1.0916249643,39205.181852,4212.01,271556.0,227861.0
(DEU) Germany,(60) Mixed crops,2004,1.3228878359994372,26676.0,18564.0,134726.0,2037.69037,968.52028576,125933.0,26835.0,45419.0,19918.0,17705.0,12595.0,3461.0,107847.0,5562.0,21318.0,20093.0,-2211.0,1.0698266518000001,22589.866392,6128.16,152608.0,125932.0
(DEU) Germany,(70) Mixed livestock,2004,5.896702162593235,28574.0,33587.0,195078.0,453.24240934,887.7698711000002,198613.0,85970.0,57192.0,23889.0,14817.0,11440.0,5304.0,32342.0,141168.0,21568.0,33612.0,-1503.0,0.9822007972,28259.925783,4819.92,227187.0,198612.0
(DEU) Germany,(80) Mixed crops and livestock,2004,11.769948867101375,27791.0,53819.0,223450.0,730.73462213,1003.9018693,246780.0,84287.0,70753.0,31712.0,34378.0,18891.0,6760.0,95526.0,103462.0,24462.0,52020.0,-900.0,0.9054625948,30378.391367,6453.94,274570.0,246780.0
(ELL) Greece,(15) Specialist COP,2004,4.783377315467193,6003.0,8551.0,13509.0,680.9286182999999,798.86770995,16133.0,5712.0,3736.0,3332.0,365.0,2953.0,35.0,12917.0,395.0,197.0,8424.0,204.0,0.8373062094,12688.131184,1639.4,22137.0,16134.0
(ELL) Greece,(16) Specialist other fieldcrops,2004,20.49140426840204,10286.0,5351.0,21180.0,1998.4191741,850.8684752,16243.0,4801.0,4680.0,3253.0,1115.0,2323.0,71.0,20581.0,386.0,213.0,5293.0,56.0,1.3039831907,11229.733433,2813.19,26529.0,16243.0
(ELL) Greece,(20) Specialist horticulture,2004,3.1897722323281497,22670.0,1209.0,47960.0,16870.783413,2136.4265496,26637.0,9076.0,5883.0,5500.0,5414.0,579.0,186.0,46494.0,1099.0,367.0,1128.0,219.0,1.8004837775,12785.02026,5154.96,49307.0,26637.0
(ELL) Greece,(35) Specialist wine,2004,3.061668929825011,14057.0,3612.0,20590.0,4539.827159,,10276.0,3312.0,1839.0,3178.0,1848.0,95.0,4.0,20563.0,0.0,26.0,3690.0,54.0,2.0035734816999997,12468.932947,2873.5,24334.0,10276.0
(ELL) Greece,(36) Specialist orchards - fruits,2004,9.812712971740412,9942.0,1315.0,17106.0,4498.9364033,936.87750209,8700.0,2671.0,1802.0,2816.0,1173.0,223.0,15.0,16258.0,193.0,656.0,1278.0,258.0,1.9661285998,9683.4732809,2582.29,18642.0,8701.0
(ELL) Greece,(37) Specialist olives,2004,19.189874714970152,7891.0,3969.0,10023.0,1816.0876640000001,781.86368789,6021.0,1205.0,1600.0,1892.0,1090.0,224.0,9.0,9264.0,492.0,266.0,3907.0,-18.0,1.6647610357,7969.293735699999,2639.68,13912.0,6020.0
(ELL) Greece,(38) Permanent crops combined,2004,10.46860188055648,10908.0,3793.0,13739.0,2669.0511531999996,663.58973945,6551.0,1710.0,1622.0,1998.0,1064.0,144.0,12.0,12628.0,810.0,301.0,3729.0,-9.0,2.0971262655,9398.8606048,2911.64,17459.0,6551.0
(ELL) Greece,(45) Specialist milk,2004,0.6225820501652533,18177.0,11858.0,49734.0,584.44837595,1186.1466288,43278.0,30326.0,3987.0,3818.0,3364.0,1121.0,663.0,5725.0,43884.0,125.0,11721.0,0.0,1.1491729367,11444.591166,4832.62,61455.0,43278.0
(ELL) Greece,(48) Specialist sheep and goats,2004,7.780994594040634,22332.0,8976.0,32755.0,765.04899967,795.09496242,19282.0,13239.0,2242.0,2025.0,1259.0,479.0,37.0,4826.0,27840.0,89.0,8866.0,-7.0,1.6987460793,13230.763345,4465.82,41614.0,19281.0
(ELL) Greece,(49) Specialist cattle,2004,1.1785503830288746,24412.0,16464.0,36751.0,626.10041113,656.84393662,28766.0,20478.0,3319.0,2887.0,975.0,990.0,118.0,6134.0,30579.0,39.0,16427.0,0.0,1.2775975185,18562.278101,3456.52,53178.0,28766.0
(ELL) Greece,(50) Specialist granivores,2004,0.24083420870590044,,,,,,,,,,,,,,,,,,,,,,
(ELL) Greece,(60) Mixed crops,2004,9.318234224078296,13588.0,4338.0,19533.0,2443.8585593000003,897.51627616,10189.0,3420.0,2592.0,2437.0,944.0,773.0,23.0,17137.0,1970.0,427.0,4236.0,7.0,1.9170939458,10423.592802,3409.84,23776.0,10189.0
(ELL) Greece,(70) Mixed livestock,2004,0.32794445440803466,,,,,,,,,,,,,,,,,,,,,,
(ELL) Greece,(80) Mixed crops and livestock,2004,9.53344777228357,16386.0,6162.0,24112.0,1095.8596002999998,852.10454759,13967.0,7868.0,2474.0,2012.0,850.0,724.0,39.0,8498.0,15536.0,79.0,6191.0,49.0,1.7263529290000001,10925.597581,3943.7,30352.0,13967.0
(ESP) Spain,(15) Specialist COP,2004,12.748153377296441,21882.0,13449.0,29899.0,489.39654188,1039.9543778999998,20852.0,7569.0,7439.0,2112.0,1013.0,2522.0,198.0,28633.0,212.0,1054.0,12970.0,-136.0,1.4338542518000001,27427.976982,1981.96,42733.0,20852.0
(ESP) Spain,(16) Specialist other fieldcrops,2004,5.7077429019094685,26328.0,8522.0,51223.0,1451.1678156,844.34418765,33200.0,12641.0,11098.0,2200.0,3268.0,3578.0,415.0,50107.0,449.0,667.0,8469.0,-164.0,1.5428512669999999,26627.505279,2672.33,59528.0,33200.0
(ESP) Spain,(20) Specialist horticulture,2004,7.310731934089774,51009.0,1134.0,104775.0,14467.886987,1006.0040196,55705.0,20172.0,8410.0,3231.0,21948.0,1115.0,829.0,104614.0,121.0,40.0,2007.0,-68.0,1.8808816912000001,25360.317974,5991.03,106714.0,55705.0
(ESP) Spain,(35) Specialist wine,2004,8.274935863220785,14822.0,820.0,27328.0,1645.6577266,502.86944398,13910.0,2734.0,3608.0,2411.0,4554.0,500.0,101.0,27108.0,13.0,207.0,1378.0,27.0,1.9645574678,14526.191205000001,2828.56,28733.0,13910.0
(ESP) Spain,(36) Specialist orchards - fruits,2004,17.51235386284199,17811.0,2086.0,29098.0,2360.6051128000004,1147.7294322,13485.0,3794.0,4197.0,1872.0,3118.0,411.0,92.0,28412.0,93.0,593.0,2232.0,-34.0,2.1578539072,17529.626823,2383.67,31296.0,13484.0
(ESP) Spain,(37) Specialist olives,2004,14.504381962499355,18754.0,6909.0,24640.0,1398.9908292000002,561.82941796,12851.0,3017.0,2917.0,1610.0,5004.0,218.0,85.0,24504.0,72.0,64.0,7142.0,-177.0,1.9172832650999998,16645.816228,2690.58,31605.0,12851.0
(ESP) Spain,(38) Permanent crops combined,2004,2.8340708345529366,15456.0,4527.0,20039.0,970.85725484,503.02085802,9282.0,2132.0,2590.0,2073.0,2269.0,170.0,49.0,19213.0,7.0,820.0,4724.0,-25.0,2.1588147994,14263.294118000002,2480.29,24738.0,9283.0
(ESP) Spain,(45) Specialist milk,2004,4.807245303810327,33944.0,8008.0,68276.0,449.41475891,1521.7878609000002,41837.0,31071.0,6264.0,2682.0,554.0,943.0,323.0,8040.0,60153.0,82.0,7979.0,-474.0,1.6319423488,25305.566613,3130.87,75781.0,41838.0
(ESP) Spain,(48) Specialist sheep and goats,2004,6.993922071661013,35876.0,12096.0,55554.0,139.66425961,971.17264366,32237.0,22091.0,3874.0,2581.0,2099.0,1282.0,310.0,8532.0,46448.0,574.0,12426.0,133.0,1.72330612,28430.607306,3036.51,68113.0,32237.0
(ESP) Spain,(49) Specialist cattle,2004,6.981869522546876,21669.0,12781.0,36029.0,133.87856234,621.0155727000001,26929.0,18402.0,3889.0,2155.0,894.0,1281.0,310.0,6585.0,29289.0,154.0,12605.0,-35.0,1.3379167598000001,18587.12398,2871.87,48599.0,26929.0
(ESP) Spain,(50) Specialist granivores,2004,3.479743108524596,56947.0,4603.0,176328.0,580.92468551,559.52459741,124759.0,97996.0,12365.0,7368.0,4008.0,2131.0,891.0,11332.0,163167.0,1828.0,5214.0,164.0,1.4133431013999997,42158.748042,3147.3,181706.0,124759.0
(ESP) Spain,(60) Mixed crops,2004,5.019025809673031,20073.0,7367.0,46121.0,1262.5744757000002,1876.8313210000001,33343.0,6956.0,7543.0,2520.0,15159.0,943.0,223.0,45428.0,421.0,272.0,7522.0,-227.0,1.3832276444999998,14706.92166,4995.5,53416.0,33343.0
(ESP) Spain,(70) Mixed livestock,2004,0.7730849360354001,67492.0,23844.0,110015.0,156.68921613,780.76179691,66512.0,52349.0,6758.0,3388.0,1392.0,2402.0,223.0,18582.0,91272.0,161.0,24404.0,-416.0,1.6540641361000001,53219.98747,2883.57,134003.0,66512.0
